name	spdx	license_url	notes
starkware-formal-proofs	NONE		No LICENSE-like file found for starkware-libs/formal-proofs at revision d0dd8279612a248cbc6bf6d286030bf0bb2a37ff (tried paths: LICENSE, LICENSE.md, LICENSE.MD, LICENSE.txt, LICENSE-MIT, LICENSE-APACHE, LICENCE, LICENCE.md, LICENCE.txt, COPYING, COPYING.md, COPYING.txt, License, license, UNLICENSE) -- FLAG: needs manual review, may be non-redistributable
veil	Apache-2.0	https://github.com/verse-lab/veil/blob/6a12daa8d3e0e8a9808a40ecab17ca030b557063/LICENSE	Apache License 2.0
verified-compiler	MIT	https://github.com/marcusrossel/verified-compiler/blob/6940e67e5ec2d846310a927c2211d2b94f69162c/LICENSE	MIT License
verity	MIT	https://github.com/lfglabs-dev/verity/blob/eeb7a3abe85dd88cc8ee2ece5a77da9b2aba2978/LICENSE.md	MIT License
yul-semantics	Apache-2.0	https://github.com/powdr-labs/yul-semantics/blob/f4e6187d684c0ebaee751750c5c368a4226abb73/LICENSE	Apache License 2.0
apc-optimizer	MIT	https://github.com/powdr-labs/apc-optimizer/blob/bd367dd92ecaabcdc3a308473fbe966da9a1c03c/LICENSE	MIT License
yul-compiler	Apache-2.0	https://github.com/powdr-labs/yul-compiler/blob/37ead3d1abddd98ef5c69ef434de8bbe6bb868af/LICENSE	Apache License 2.0
leanda	MIT	https://github.com/konnov/leanda/blob/cefba4b23d7438a6980a6ed08456428c0cb26ae4/LICENSE	MIT License
verified-consensus	NONE		No LICENSE-like file found for fradamt/verified-consensus at revision e403284a81a272924891b88471e28acc47b556f0 (tried paths: LICENSE, LICENSE.md, LICENSE.MD, LICENSE.txt, LICENSE-MIT, LICENSE-APACHE, LICENCE, LICENCE.md, LICENCE.txt, COPYING, COPYING.md, COPYING.txt, License, license, UNLICENSE) -- FLAG: needs manual review, may be non-redistributable
posix-parsing	NONE		No LICENSE-like file found for keeganperry7/posix-parsing at revision e1dc3644c5f8c6601fe5d578c8edd4c9b28a6d1a (tried paths: LICENSE, LICENSE.md, LICENSE.MD, LICENSE.txt, LICENSE-MIT, LICENSE-APACHE, LICENCE, LICENCE.md, LICENCE.txt, COPYING, COPYING.md, COPYING.txt, License, license, UNLICENSE) -- FLAG: needs manual review, may be non-redistributable
posix-submatching	NONE		No LICENSE-like file found for keeganperry7/posix-submatching at revision 40eb11ec00990a6e73f8947b85f0c61d98074bb2 (tried paths: LICENSE, LICENSE.md, LICENSE.MD, LICENSE.txt, LICENSE-MIT, LICENSE-APACHE, LICENCE, LICENCE.md, LICENCE.txt, COPYING, COPYING.md, COPYING.txt, License, license, UNLICENSE) -- FLAG: needs manual review, may be non-redistributable
adler-proofs	BSD-3-Clause	https://github.com/septract/adler-proofs/blob/e500f96af690e90eb185aa39caa798c07d671d82/LICENSE	BSD 3-Clause License
symcrust	MIT	https://github.com/microsoft/SymCrypt/blob/c2e575ace0ea4b6b7a4184c1f19b81d1d5b2b5be/LICENSE.txt	MIT License
